iter	Passed	Remaining
0	58	58000
1	58	29101
2	58	19461
3	58	14667
4	59	11777
5	59	9850
6	59	8468
7	59	7431
8	60	6622
9	60	5977
10	60	5452
11	60	5012
12	61	4640
13	61	4323
14	61	4048
15	61	3805
16	62	3595
17	62	3407
18	62	3240
19	63	3092
20	63	2954
21	63	2829
22	63	2713
23	64	2607
24	64	2510
25	64	2421
26	64	2338
27	65	2265
28	65	2200
29	66	2135
30	66	2075
31	66	2022
32	67	1967
33	67	1914
34	67	1864
35	67	1818
36	68	1777
37	68	1736
38	68	1697
39	69	1659
40	69	1623
41	69	1588
42	69	1554
43	70	1523
44	70	1493
45	70	1464
46	70	1436
47	71	1411
48	71	1385
49	71	1360
50	71	1337
51	72	1314
52	72	1292
53	72	1272
54	72	1252
55	73	1236
56	73	1217
57	73	1199
58	74	1180
59	74	1163
60	74	1147
61	74	1134
62	75	1119
63	75	1105
64	75	1090
65	76	1076
66	76	1062
67	76	1050
68	76	1037
69	77	1024
70	77	1012
71	77	1000
72	77	988
73	78	977
74	78	965
75	78	955
76	78	944
77	79	935
78	79	924
79	79	915
80	79	905
81	80	896
82	80	885
83	80	876
84	80	867
85	80	859
86	81	851
87	81	843
88	81	836
89	82	833
90	82	827
91	83	820
92	83	813
93	83	806
94	83	800
95	84	793
96	84	786
97	84	779
98	84	773
99	85	766
100	85	760
101	85	754
102	85	748
103	86	742
104	86	736
105	86	730
106	86	725
107	87	719
108	87	714
109	87	708
110	87	703
111	88	699
112	88	693
113	88	689
114	88	684
115	89	679
116	89	674
117	89	669
118	89	665
119	90	661
120	90	656
121	90	651
122	90	647
123	91	643
124	91	640
125	91	636
126	91	631
127	92	627
128	92	623
129	92	619
130	93	616
131	93	613
132	93	610
133	94	608
134	94	605
135	94	603
136	95	601
137	95	598
138	96	594
139	96	591
140	96	587
141	96	583
142	96	580
143	97	578
144	97	575
145	97	572
146	98	569
147	98	565
148	98	562
149	98	559
150	99	556
151	99	553
152	99	550
153	99	547
154	100	545
155	100	542
156	100	539
157	100	536
158	100	534
159	101	531
160	101	527
161	101	525
162	101	522
163	102	520
164	102	518
165	102	515
166	102	513
167	103	510
168	103	508
169	103	505
170	103	503
171	104	500
172	104	498
173	104	496
174	104	493
175	105	491
176	105	489
177	105	487
178	105	486
179	106	484
180	106	481
181	106	479
182	107	477
183	107	475
184	107	473
185	107	471
186	108	469
187	108	468
188	108	466
189	108	464
190	109	462
191	109	460
192	109	458
193	109	456
194	110	454
195	110	452
196	110	450
197	110	448
198	111	447
199	111	445
200	111	443
201	111	442
202	112	440
203	112	439
204	113	438
205	113	436
206	113	434
207	113	433
208	114	431
209	114	430
210	114	428
211	114	427
212	115	425
213	115	424
214	115	422
215	115	420
216	116	419
217	116	417
218	116	416
219	117	415
220	117	413
221	117	412
222	117	410
223	118	408
224	118	407
225	118	406
226	118	404
227	119	403
228	119	401
229	119	400
230	119	398
231	120	397
232	120	395
233	120	394
234	120	393
235	121	391
236	121	390
237	121	389
238	121	388
239	122	386
240	122	385
241	122	384
242	122	382
243	123	381
244	123	380
245	123	378
246	123	377
247	124	376
248	124	375
249	124	374
250	124	372
251	125	371
252	125	370
253	125	369
254	125	367
255	126	366
256	126	365
257	126	364
258	126	363
259	127	361
260	127	360
261	127	359
262	128	359
263	128	358
264	128	357
265	128	355
266	129	354
267	129	353
268	129	352
269	130	351
270	130	350
271	130	350
272	131	349
273	131	348
274	131	347
275	132	346
276	132	345
277	132	344
278	132	343
279	133	342
280	133	341
281	133	340
282	134	339
283	134	338
284	134	338
285	134	336
286	135	335
287	135	334
288	135	333
289	136	332
290	136	331
291	136	330
292	136	330
293	137	329
294	137	328
295	137	327
296	137	326
297	138	325
298	138	324
299	138	323
300	138	322
301	139	321
302	139	320
303	139	319
304	139	318
305	140	317
306	140	316
307	140	315
308	140	315
309	141	314
310	141	313
311	141	312
312	141	311
313	142	310
314	142	310
315	142	309
316	143	308
317	143	308
318	143	307
319	144	306
320	144	305
321	144	304
322	144	303
323	145	302
324	145	302
325	145	301
326	145	300
327	146	299
328	146	298
329	146	297
330	146	296
331	147	296
332	147	295
333	147	294
334	147	293
335	148	292
336	148	292
337	148	291
338	148	290
339	149	289
340	149	288
341	149	287
342	149	287
343	150	286
344	150	285
345	150	284
346	150	283
347	151	283
348	151	282
349	152	282
350	152	281
351	152	280
352	152	279
353	152	278
354	153	278
355	153	277
356	153	276
357	153	275
358	154	275
359	154	274
360	154	273
361	155	273
362	155	272
363	155	271
364	155	271
365	156	270
366	156	269
367	156	269
368	157	268
369	157	267
370	157	267
371	157	266
372	158	265
373	158	265
374	158	264
375	159	264
376	159	263
377	159	262
378	160	262
379	160	261
380	160	260
381	160	260
382	161	259
383	161	258
384	161	258
385	162	257
386	162	257
387	162	256
388	162	255
389	163	254
390	163	254
391	163	253
392	163	253
393	164	252
394	164	251
395	164	251
396	164	250
397	165	249
398	165	249
399	165	248
400	165	247
401	166	247
402	166	246
403	166	246
404	167	245
405	167	244
406	167	244
407	167	243
408	168	242
409	168	242
410	168	241
411	168	241
412	169	240
413	169	239
414	169	239
415	169	238
416	170	238
417	170	237
418	170	236
419	171	236
420	171	235
421	171	235
422	171	234
423	172	233
424	172	233
425	172	232
426	173	232
427	173	231
428	173	230
429	173	230
430	174	229
431	174	229
432	174	228
433	174	228
434	175	227
435	175	227
436	175	226
437	176	226
438	176	225
439	176	224
440	176	224
441	177	223
442	177	223
443	177	222
444	178	222
445	178	221
446	178	221
447	179	220
448	179	220
449	179	219
450	179	219
451	180	218
452	180	217
453	180	217
454	181	216
455	181	216
456	181	215
457	181	215
458	182	214
459	182	214
460	182	213
461	183	213
462	183	212
463	183	212
464	183	211
465	184	211
466	184	210
467	184	209
468	184	209
469	185	208
470	185	208
471	185	207
472	185	207
473	186	206
474	186	206
475	186	205
476	187	205
477	187	204
478	187	204
479	187	203
480	188	202
481	188	202
482	188	201
483	188	201
484	189	200
485	189	200
486	189	200
487	190	199
488	190	199
489	190	198
490	190	197
491	191	197
492	191	196
493	191	196
494	192	195
495	192	195
496	192	194
497	192	194
498	193	193
499	193	193
500	193	192
501	194	192
502	194	191
503	194	191
504	194	190
505	195	190
506	195	189
507	195	189
508	195	189
509	196	188
510	196	188
511	196	187
512	197	187
513	197	186
514	197	186
515	197	185
516	198	185
517	198	184
518	198	184
519	199	183
520	199	183
521	199	182
522	199	182
523	200	181
524	200	181
525	200	181
526	201	180
527	201	180
528	201	179
529	202	179
530	202	178
531	202	178
532	202	177
533	203	177
534	203	176
535	203	176
536	203	175
537	204	175
538	204	174
539	204	174
540	204	173
541	205	173
542	205	172
543	205	172
544	205	171
545	206	171
546	206	170
547	206	170
548	206	170
549	207	169
550	207	169
551	207	168
552	208	168
553	208	167
554	208	167
555	208	166
556	209	166
557	209	165
558	209	165
559	209	164
560	210	164
561	210	164
562	210	163
563	210	163
564	211	162
565	211	162
566	211	161
567	211	161
568	212	160
569	212	160
570	212	159
571	213	159
572	213	159
573	213	158
574	213	158
575	214	157
576	214	157
577	214	156
578	215	156
579	215	155
580	215	155
581	215	155
582	216	154
583	216	154
584	216	153
585	217	153
586	217	152
587	217	152
588	217	151
589	218	151
590	218	151
591	218	150
592	218	150
593	219	149
594	219	149
595	219	148
596	220	148
597	220	148
598	220	147
599	220	147
600	221	146
601	221	146
602	221	146
603	222	145
604	222	145
605	222	144
606	222	144
607	223	143
608	223	143
609	223	143
610	224	142
611	224	142
612	224	141
613	224	141
614	225	140
615	225	140
616	225	140
617	226	139
618	226	139
619	226	138
620	226	138
621	227	138
622	227	137
623	227	137
624	227	136
625	228	136
626	228	135
627	228	135
628	229	135
629	229	134
630	229	134
631	229	133
632	230	133
633	230	132
634	230	132
635	230	132
636	231	131
637	231	131
638	231	130
639	232	130
640	232	130
641	232	129
642	232	129
643	233	128
644	233	128
645	233	128
646	234	127
647	234	127
648	234	126
649	234	126
650	235	126
651	235	125
652	235	125
653	235	124
654	236	124
655	236	124
656	236	123
657	237	123
658	237	122
659	237	122
660	238	122
661	238	121
662	238	121
663	239	121
664	239	120
665	239	120
666	239	119
667	240	119
668	240	118
669	240	118
670	241	118
671	241	117
672	241	117
673	241	116
674	242	116
675	242	116
676	242	115
677	242	115
678	243	114
679	243	114
680	243	114
681	244	113
682	244	113
683	244	113
684	244	112
685	245	112
686	245	111
687	245	111
688	245	111
689	246	110
690	246	110
691	246	109
692	247	109
693	247	109
694	247	108
695	247	108
696	248	107
697	248	107
698	248	107
699	249	106
700	249	106
701	249	105
702	249	105
703	250	105
704	250	104
705	250	104
706	250	103
707	251	103
708	251	103
709	251	102
710	252	102
711	252	102
712	252	101
713	253	101
714	253	101
715	253	100
716	253	100
717	254	99
718	254	99
719	254	99
720	255	98
721	255	98
722	255	97
723	255	97
724	256	97
725	256	96
726	256	96
727	257	96
728	257	95
729	257	95
730	257	94
731	258	94
732	258	94
733	258	93
734	258	93
735	259	92
736	259	92
737	259	92
738	259	91
739	260	91
740	260	90
741	260	90
742	260	90
743	261	89
744	261	89
745	261	89
746	261	88
747	262	88
748	262	87
749	262	87
750	263	87
751	263	86
752	263	86
753	263	86
754	264	85
755	264	85
756	264	84
757	264	84
758	265	84
759	265	83
760	265	83
761	265	83
762	266	82
763	266	82
764	266	81
765	266	81
766	267	81
767	267	80
768	268	80
769	268	80
770	268	79
771	268	79
772	269	79
773	269	78
774	269	78
775	269	77
776	270	77
777	270	77
778	270	76
779	271	76
780	271	76
781	271	75
782	271	75
783	272	74
784	272	74
785	272	74
786	272	73
787	273	73
788	273	73
789	273	72
790	273	72
791	274	72
792	274	71
793	274	71
794	275	70
795	275	70
796	275	70
797	275	69
798	276	69
799	276	69
800	276	68
801	276	68
802	277	67
803	277	67
804	277	67
805	277	66
806	278	66
807	278	66
808	278	65
809	278	65
810	279	65
811	279	64
812	279	64
813	279	63
814	280	63
815	280	63
816	280	62
817	280	62
818	281	62
819	281	61
820	281	61
821	282	61
822	282	60
823	282	60
824	282	60
825	283	59
826	283	59
827	283	58
828	284	58
829	284	58
830	284	57
831	284	57
832	285	57
833	285	56
834	285	56
835	286	56
836	286	55
837	286	55
838	286	55
839	287	54
840	287	54
841	287	53
842	287	53
843	288	53
844	288	52
845	288	52
846	289	52
847	289	51
848	289	51
849	289	51
850	290	50
851	290	50
852	290	50
853	290	49
854	291	49
855	291	49
856	291	48
857	291	48
858	292	47
859	292	47
860	292	47
861	293	46
862	293	46
863	293	46
